"","true","gods","naive","chao","l","N","S","comsize","saddef"
"389",20.4258151947786,22.4343282137546,19.6553893382422,22.4325402228525,0,100,30,729416,8
"390",30,32.9241468801804,25,25.4455,1,100,30,729416,8
"391",16.1993273126905,15.8600864044816,14.3163922691482,15.343099460293,-1,200,30,729416,8
"392",20.4258151947786,19.6971968340944,18.007440515409,19.4629250765778,0,200,30,729416,8
"393",30,26.9253691685096,26,29.98,1,200,30,729416,8
"394",16.1993273126905,17.2018957673825,17.5644028103044,18.5945273631841,-1,300,30,729416,8
"395",20.4258151947786,22.1006703369852,21.0566794483443,22.0330711150834,0,300,30,729416,8
"396",30,31.3022657902244,27,27.2491666666667,1,300,30,729416,8
"397",1.31583981340152,1.31464980698015,1.31061598951507,1.31474103585657,-1,100,30,729416,9
"398",1.73594903900596,1.73445430052083,1.68862470143825,1.71521094152835,0,100,30,729416,9
"399",30,4.83577789404171,4,4,1,100,30,729416,9
"400",1.31583981340152,1.30639838004423,1.29684865776164,1.2987860592612,-1,200,30,729416,9
"401",1.73594903900596,1.69094974933216,1.68487678642942,1.70276929214567,0,200,30,729416,9
"402",30,4.8263099997496,5,5,1,200,30,729416,9
"403",1.31583981340152,1.30906816168758,1.30144315585505,1.30275655735324,-1,300,30,729416,9
"404",1.73594903900596,1.70576978161084,1.69222249886977,1.70392856974354,0,300,30,729416,9
"405",30,5.00015415542929,5,5,1,300,30,729416,9
"406",9.12170125703639,8.41222456018144,7.45156482861401,7.9710144927536,-1,100,30,729416,10
"407",14.5684350825747,12.6908279096222,11.155585984008,13.5944412468192,0,100,30,729416,10
"408",30,23.241355950664,19,46.72,1,100,30,729416,10
"409",9.12170125703639,9.59898153539409,9.71345313258863,10.1582440020419,-1,200,30,729416,10
"410",14.5684350825747,15.5634294207903,14.4577393264227,15.5739358030699,0,200,30,729416,10
"411",30,29.9906194758622,25,28.109375,1,200,30,729416,10
"412",9.12170125703639,9.51209524927298,9.79751796211626,10.0945307224848,-1,300,30,729416,10
"413",14.5684350825747,15.3299691535048,15.0212928693567,15.8431214236898,0,300,30,729416,10
"414",30,32.0549520207199,29,30.5946666666667,1,300,30,729416,10
"415",13.1841822569121,15.0884102699885,14.367816091954,16.6107382550335,-1,100,30,729416,11
