"size","lcl","ucl","est","obs"
3162,7.94975102695851,15.4328590694994,104.554431091433,101
5623,10.1234393340217,19.9264948243861,124.098559487818,116
10000,6.92542711607142,15.1978553839285,118.9996,115
100,116.071485946429,304.328514053571,275.58,36
178,23.7819331437172,49.715586418883,85.3772070626003,51
316,25.2908990259964,52.790189150068,97.6930379746835,64
562,40.5932795876822,72.323435269969,154.012709710219,81
1000,14.1996875526707,23.4817082719092,98.114875,88
1778,24.0531970239351,42.8580534447563,134.780989876265,101
3162,11.2782162898587,19.4269692467215,115.906273359784,107
5623,9.35403451058693,20.8683103231317,118.748799573182,112
10000,7.59162238414835,15.5730276158516,120.16625,116
100,42.3101553021978,95.527782197802,98.895,39
178,22.5281519035734,39.1769381117483,79.0347293156282,53
316,21.3222832404352,33.3783892279191,95.9113924050633,68
562,25.5428527693018,44.3884328178868,115.385142348754,79
1000,18.7271393598883,31.7962843901117,111.4755,87
1778,13.2017116126448,21.5337380183977,108.629818999898,97
3162,8.97612496479603,13.8228704156142,113.998418722328,109
5623,8.10115708989925,15.7965231964248,116.554923231964,113
10000,6.01539338089286,13.0061134941071,119.59984,118
100,19.1232939991112,37.0020810008888,67.255,43
178,36.0892636205555,69.3003957895568,96.1280898876404,48
316,23.1807243720404,45.1323195361874,93.957871835443,61
562,15.4413187109961,25.8309232818864,91.721975088968,76
1000,19.2357391816123,34.0833407899786,110.976,87
1778,15.0259041217787,25.7582184125697,113.046525434321,97
3162,8.46072545132401,14.801359111892,107.498576850095,103
5623,11.89937245912,22.2247455129843,125.081540103148,115
10000,4.35474515410714,9.22168709589285,115.39996,115
100,26.5727793921703,56.3960706078296,75.2257142857143,41
178,91.7752887948896,234.261102657758,208.264747191011,56
