"samp","chaoest","cover","coverage","l","size","comm","reps"
423.307832418418,1001.06091038688,423.308,0.54,0,891,"soil.Canada",1
554,1688.53605120272,554,0.54,1,891,"soil.Canada",1
180.050414115952,219.367588932805,163.755,0.6,-1,1000,"soil.Brazil",1
325.839320745232,561.499143078551,265.908,0.6,0,1000,"soil.Brazil",1
495,1038.13374193548,367.931,0.6,1,1000,"soil.Brazil",1
118.203309692671,133.914209115281,115.449,0.6,-1,1000,"soil.Florida",1
326.459733589666,611.650273880259,298.779,0.6,0,1000,"soil.Florida",1
532,1232.48302631579,467.458,0.6,1,1000,"soil.Florida",1
203.004466098254,254.457463066733,189.993,0.6,-1,1000,"soil.Illinois",1
350.853957100035,659.869691331166,305.63,0.6,0,1000,"soil.Illinois",1
520,1284.859375,425.58,0.6,1,1000,"soil.Illinois",1
281.214848143982,390.845070422533,281.215,0.6,-1,1000,"soil.Canada",1
431.000231645866,868.911945044675,431,0.6,0,1000,"soil.Canada",1
579,1402.9175257732,579,0.6,1,1000,"soil.Canada",1
171.837837837838,202.734042553191,160.904,0.606,-1,1122,"soil.Brazil",1
341.251479560455,657.551230425942,288.403,0.606,0,1122,"soil.Brazil",1
554,1611.80637254902,427.313,0.606,1,1122,"soil.Brazil",1
114.610706482156,127.536199553843,108.826,0.606,-1,1122,"soil.Florida",1
318.34617094539,553.142847953885,263.137,0.606,0,1122,"soil.Florida",1
545,1201.97006529885,408.254,0.606,1,1122,"soil.Florida",1
176.56157082749,209.347869507324,167.663,0.606,-1,1122,"soil.Illinois",1
348.206378104155,640.936844740105,304.525,0.606,0,1122,"soil.Illinois",1
563,1375.82867096008,458.133,0.606,1,1122,"soil.Illinois",1
241.350460122699,307.220810942843,241.35,0.606,-1,1122,"soil.Canada",1
427.321905653767,906.70143112086,427.322,0.606,0,1122,"soil.Canada",1
619,1870.21717171717,619,0.606,1,1122,"soil.Canada",1
167.290063424947,192.795171909291,150.136,0.611,-1,1258,"soil.Brazil",1
337.555553673696,540.512526692738,258.121,0.611,0,1258,"soil.Brazil",1
565,1104.92572797255,373.441,0.611,1,1258,"soil.Brazil",1
120.328771289538,132.949890701194,115.511,0.611,-1,1258,"soil.Florida",1
334.690297765491,648.450025845384,284.547,0.611,0,1258,"soil.Florida",1
604,1863.97060971942,464.116,0.611,1,1258,"soil.Florida",1
181.071395881007,211.348035284684,165.343,0.611,-1,1258,"soil.Illinois",1
352.574949629443,622.560012454791,281.825,0.611,0,1258,"soil.Illinois",1
587,1463.85355994363,413.061,0.611,1,1258,"soil.Illinois",1
248.128566948887,308.848828125001,248.129,0.611,-1,1258,"soil.Canada",1
445.039845803689,944.704139530367,445.04,0.611,0,1258,"soil.Canada",1
674,2148.88222045575,674,0.611,1,1258,"soil.Canada",1
173.248522766771,197.338748019017,166.499,0.654,-1,1412,"soil.Brazil",1
383.297091243163,651.431086249257,340.122,0.654,0,1412,"soil.Brazil",1
653,1473.1939437846,539.937,0.654,1,1412,"soil.Brazil",1
135.205750712058,149.417429128543,131.496,0.654,-1,1412,"soil.Florida",1
354.742095096868,640.294889518322,318.741,0.654,0,1412,"soil.Florida",1
643,1791.38611898017,536.939,0.654,1,1412,"soil.Florida",1
206.905770029058,242.25826848249,199.385,0.654,-1,1412,"soil.Illinois",1
406.052649301602,706.025973818735,368.561,0.654,0,1412,"soil.Illinois",1
666,1557.74650856477,571.28,0.654,1,1412,"soil.Illinois",1
258.05643282423,315.541970224896,258.056,0.654,-1,1412,"soil.Canada",1
466.878361913189,882.454057603817,466.878,0.654,0,1412,"soil.Canada",1
713,1879.54579792257,713,0.654,1,1412,"soil.Canada",1
201.530602409639,230.763114301491,191.885,0.68,-1,1584,"soil.Brazil",1
408.924171945298,672.354172847993,358.839,0.68,0,1584,"soil.Brazil",1
688,1572.0177459115,555.663,0.68,1,1584,"soil.Brazil",1
89.6219459922846,94.9368468877781,87.942,0.68,-1,1584,"soil.Florida",1
336.890800398696,543.539284909776,300.707,0.68,0,1584,"soil.Florida",1
681,1462.42785030053,561.687,0.68,1,1584,"soil.Florida",1
189.907356948229,215.640866873065,182.333,0.68,-1,1584,"soil.Illinois",1
393.980619701863,657.809288293968,350.697,0.68,0,1584,"soil.Illinois",1
687,1649.16941381638,565.272,0.68,1,1584,"soil.Illinois",1
299.982783357245,369.833628318584,299.983,0.68,-1,1584,"soil.Canada",1
