"samp","chaoest","cover","coverage","cov_size","l","size","comm","reps"
68.3384759367902,76.6193612621472,68.338,0.947,1122,0,1122,"comm3",1
157,238.745260087506,157,0.947,1122,1,1122,"comm3",1
50.2307876466363,52.5380952380952,49.774,0.947,928,-1,1122,"comm4",1
78.8027078270059,86.9638233587433,77.269,0.947,928,0,1122,"comm4",1
157,199.836786987522,147.621,0.947,928,1,1122,"comm4",1
15.5080354343054,15.6891159837286,15.34,0.959,645,-1,1258,"comm1",1
26.7345931749638,28.0781689797756,25.644,0.959,645,0,1258,"comm1",1
89,113.019353063471,71.711,0.959,645,1,1258,"comm1",1
25.3648544685216,25.8662282854059,24.587,0.959,478,-1,1258,"comm2",1
39.9096062404903,41.4611127661433,37.427,0.959,478,0,1258,"comm2",1
86,90.2319274291593,69.273,0.959,478,1,1258,"comm2",1
40.710089005505,42.0381220757126,40.71,0.959,1258,-1,1258,"comm3",1
67.9061054862409,74.6304092055658,67.906,0.959,1258,0,1258,"comm3",1
159,217.735881661713,159,0.959,1258,1,1258,"comm3",1
51.458802107043,53.6108624898293,51.098,0.959,1070,-1,1258,"comm4",1
80.8793540286316,88.2668182018573,79.708,0.959,1070,0,1258,"comm4",1
159,201.053501071404,151.861,0.959,1070,1,1258,"comm4",1
13.4770889487871,15.4205607476635,10.731,0.685,33,-1,100,"comm1",2
20.1339021557453,32.9034181266189,13.945,0.685,33,0,100,"comm1",2
32,175.055,17.679,0.685,33,1,100,"comm1",2
25.1256281407035,33.221476510067,20.949,0.682,55,-1,100,"comm2",2
31.6191460822607,47.2753186573135,25.103,0.682,55,0,100,"comm2",2
42,76.2257142857143,30.228,0.682,55,1,100,"comm2",2
27.7777777777778,38.076923076923,27.778,0.682,100,-1,100,"comm3",2
38.0244804578601,66.2077996975661,38.024,0.682,100,0,100,"comm3",2
51,107.32,51,0.682,100,1,100,"comm3",2
37.8787878787879,60.3658536585364,34.835,0.682,81,-1,100,"comm4",2
43.9813887806119,70.1713460208794,40.109,0.682,81,0,100,"comm4",2
52,84.805,46.443,0.682,81,1,100,"comm4",2
11.6797020484171,12.9230769230769,8.634,0.689,24,-1,112,"comm1",2
16.7711596500309,20.7898150341917,10.647,0.689,24,0,112,"comm1",2
28,45.8392857142857,13.05,0.689,24,1,112,"comm1",2
22.4802867383513,27.8744394618834,17.87,0.69,48,-1,112,"comm2",2
29.1756815134921,38.8031579610762,21.694,0.69,48,0,112,"comm2",2
40,57.9012276785714,26.255,0.69,48,1,112,"comm2",2
35.84,52.235294117647,33.419,0.689,91,-1,112,"comm3",2
43.8489565016211,72.3966634045029,40.213,0.689,91,0,112,"comm3",2
55,107.912202380952,48.849,0.689,91,1,112,"comm3",2
40.7272727272727,63.4285714285714,40.727,0.689,112,-1,112,"comm4",2
50.205617183242,85.8621918629041,50.206,0.689,112,0,112,"comm4",2
61,111.5859375,61,0.689,112,1,112,"comm4",2
10.7832988267771,11.7069486404834,8.628,0.714,30,-1,125,"comm1",2
